type,poxX,poxY,poxZ,quatX,quatY,quatZ,quatW,stampSecs,stampNSecs,recSecs,recNSecs
Mocap,0.0431283,-0.0217973,1.00083,-0.0006991,-0.0119941,-0.0736365,0.997213,1540497572,461287024,1540497572,482639170
Mocap,0.0430913,-0.0217957,1.00082,-0.000624167,-0.0121427,-0.0736893,0.997207,1540497572,471674154,1540497572,492806170
Mocap,0.0431308,-0.0217687,1.00081,-0.000721123,-0.0120243,-0.0736502,0.997211,1540497572,482352395,1540497572,502675170
Mocap,0.0430936,-0.021801,1.00082,-0.000669345,-0.0120807,-0.0736201,0.997213,1540497572,491875386,1540497572,512742170
Mocap,0.0431047,-0.0217922,1.0008,-0.000540483,-0.0120821,-0.073644,0.997211,1540497572,501792460,1540497572,522709170
Mocap,0.0431165,-0.0217805,1.00082,-0.00070683,-0.0121101,-0.0736034,0.997214,1540497572,511165035,1540497572,532849170
Mocap,0.0431182,-0.0217958,1.00082,-0.000692387,-0.011999,-0.073557,0.997219,1540497572,521386278,1540497572,542722170
Mocap,0.0431035,-0.0217735,1.00082,-0.000637243,-0.012184,-0.0737399,0.997203,1540497572,532376169,1540497572,552862170
Mocap,0.0431154,-0.0217996,1.00072,-0.000706603,-0.012477,-0.0733887,0.997225,1540497572,541851675,1540497572,562748170
Mocap,0.0431207,-0.0217789,1.00082,-0.000684542,-0.0119788,-0.0736387,0.997213,1540497572,551859955,1540497572,572896170
Mocap,0.043109,-0.0217791,1.00083,-0.000724212,-0.0120771,-0.073563,0.997217,1540497572,561274632,1540497572,582787170
Mocap,0.0430948,-0.0217984,1.0008,-0.000635166,-0.0120745,-0.0737148,0.997206,1540497572,571796874,1540497572,592832170
Mocap,0.0431127,-0.0217882,1.00081,-0.000590769,-0.0120712,-0.073756,0.997203,1540497572,582030223,1540497572,602819170
Mocap,0.0431204,-0.0217882,1.00083,-0.000688139,-0.0120468,-0.0736099,0.997214,1540497572,591787427,1540497572,612990170
Mocap,0.0431146,-0.0217814,1.00084,-0.000671997,-0.0120824,-0.0736095,0.997214,1540497572,602036028,1540497572,622871170
Mocap,0.0431038,-0.021796,1.00082,-0.000549614,-0.0121173,-0.0736349,0.997212,1540497572,611690424,1540497572,632941170
Mocap,0.0431099,-0.0217706,1.00083,-0.000708714,-0.0121235,-0.073613,0.997213,1540497572,621635583,1540497572,642900170
Mocap,0.0430948,-0.0217842,1.00082,-0.000647156,-0.0121574,-0.0737229,0.997204,1540497572,632484514,1540497572,653047170
Mocap,0.0431333,-0.021782,1.00082,-0.000717283,-0.0120146,-0.0735993,0.997215,1540497572,641196261,1540497572,662950170
Mocap,0.0430982,-0.0217795,1.00082,-0.0006242,-0.0121631,-0.0737082,0.997205,1540497572,651735422,1540497572,672980170
Mocap,0.0431144,-0.0217734,1.00083,-0.000691445,-0.0120272,-0.0736166,0.997214,1540497572,661698028,1540497572,682965170
Mocap,0.0431078,-0.0217871,1.00081,-0.000644572,-0.0121436,-0.073617,0.997212,1540497572,671493043,1540497572,693111170
Mocap,0.0430814,-0.0217934,1.00082,-0.000686837,-0.012161,-0.073541,0.997218,1540497572,682257155,1540497572,702998170
Mocap,0.0431191,-0.0217882,1.00083,-0.000702075,-0.0120687,-0.0735588,0.997218,1540497572,691826431,1540497572,713153170
Mocap,0.043115,-0.0217771,1.00082,-0.000678779,-0.0120245,-0.0736253,0.997213,1540497572,701841262,1540497572,723036170
Mocap,0.0431056,-0.0218173,1.00074,-0.000757853,-0.0124886,-0.0734343,0.997222,1540497572,711301501,1540497572,733214170
Mocap,0.0430991,-0.0217904,1.00081,-0.000610818,-0.0121092,-0.0736835,0.997208,1540497572,721478770,1540497572,743073170
Mocap,0.0431127,-0.0217859,1.00082,-0.000604509,-0.0119999,-0.0736007,0.997215,1540497572,732405032,1540497572,753227170
Mocap,0.0431007,-0.0217835,1.00081,-0.000634155,-0.012089,-0.0736843,0.997208,1540497572,741841866,1540497572,763118170
Mocap,0.0431171,-0.0217783,1.00083,-0.000710674,-0.0121225,-0.0735811,0.997215,1540497572,751855373,1540497572,773203170
Mocap,0.0431013,-0.0217777,1.00083,-0.000625885,-0.0121884,-0.0737052,0.997205,1540497572,761262359,1540497572,783171170
Mocap,0.0431213,-0.0217727,1.00083,-0.000739834,-0.0120529,-0.073645,0.997211,1540497572,771623330,1540497572,793208170
Mocap,0.043115,-0.0217753,1.00083,-0.000680628,-0.0120124,-0.0735975,0.997215,1540497572,782331784,1540497572,803094170
Mocap,0.0431279,-0.0217678,1.00083,-0.000750288,-0.0120686,-0.0736302,0.997212,1540497572,791929426,1540497572,813220170
Mocap,0.043112,-0.0217769,1.00083,-0.00074158,-0.0120518,-0.0736175,0.997213,1540497572,801992934,1540497572,823191170
Mocap,0.0430952,-0.021802,1.00072,-0.000708636,-0.0125501,-0.0734296,0.997221,1540497572,811619284,1540497572,833214170
Mocap,0.0431108,-0.021784,1.00083,-0.000731984,-0.0121013,-0.0735905,0.997215,1540497572,821366299,1540497572,842667170
Mocap,0.0431141,-0.0217792,1.00083,-0.000687574,-0.0120881,-0.0736526,0.99721,1540497572,832597267,1540497572,853230170
Mocap,0.0430946,-0.0217962,1.00082,-0.000654565,-0.0121716,-0.073637,0.997211,1540497572,841966121,1540497572,862651170
Mocap,0.0430996,-0.021774,1.00081,-0.000657762,-0.0122117,-0.0737147,0.997204,1540497572,851899350,1540497572,873298170
Mocap,0.0431164,-0.0217645,1.00083,-0.000698522,-0.0120953,-0.0736527,0.99721,1540497572,861672956,1540497572,882631170
Mocap,0.043091,-0.0217848,1.00082,-0.000614055,-0.0121324,-0.0737066,0.997206,1540497572,871587264,1540497572,892785170
Mocap,0.0430965,-0.0217751,1.00081,-0.00063615,-0.0122222,-0.0737313,0.997203,1540497572,882265522,1540497572,902644170
Mocap,0.0430884,-0.0218065,1.00072,-0.000695234,-0.0125708,-0.0735279,0.997214,1540497572,891516657,1540497572,912772170
Mocap,0.0431252,-0.0217677,1.00081,-0.000669593,-0.0120491,-0.0736355,0.997212,1540497572,901624034,1540497572,922648170
Mocap,0.043121,-0.0217623,1.00083,-0.000710259,-0.0120931,-0.0736128,0.997213,1540497572,911213012,1540497572,932690170
Mocap,0.0431162,-0.0217756,1.00083,-0.000692784,-0.0120387,-0.0736251,0.997213,1540497572,921333422,1540497572,942647170
Mocap,0.0431222,-0.0217798,1.00082,-0.000665874,-0.0121262,-0.0736579,0.99721,1540497572,932558616,1540497572,952787170
Mocap,0.0431212,-0.021776,1.00083,-0.000705751,-0.0120615,-0.0736915,0.997208,1540497572,941785619,1540497572,962691170
Mocap,0.0431211,-0.0217798,1.00083,-0.000703653,-0.0120238,-0.0736638,0.99721,1540497572,951916801,1540497572,972796170
Mocap,0.0430972,-0.021783,1.00081,-0.000584706,-0.0121105,-0.0737316,0.997204,1540497572,961400885,1540497572,982674170
Mocap,0.043111,-0.0217906,1.00082,-0.000723216,-0.0121516,-0.0735168,0.99722,1540497572,972107983,1540497572,992833170
Mocap,0.0430936,-0.0217921,1.00081,-0.000654924,-0.0121156,-0.0736423,0.997211,1540497572,981522391,1540497573,2650170
Mocap,0.0431194,-0.0217796,1.00083,-0.000725444,-0.0120966,-0.0736189,0.997213,1540497572,991986981,1540497573,12676170
Mocap,0.0431334,-0.0217593,1.00083,-0.000683345,-0.0119912,-0.0737363,0.997205,1540497573,1718119,1540497573,22664170
Mocap,0.0431125,-0.0217836,1.00082,-0.000629553,-0.0120725,-0.073723,0.997205,1540497573,11946545,1540497573,32794170
Mocap,0.0431136,-0.0218017,1.00082,-0.000678617,-0.0120235,-0.073563,0.997218,1540497573,21873327,1540497573,42657170
Mocap,0.0430734,-0.0218219,1.00071,-0.000664688,-0.012709,-0.073473,0.997216,1540497573,31859319,1540497573,52801170
Mocap,0.0430936,-0.0217951,1.00081,-0.000650312,-0.0120851,-0.0736429,0.997211,1540497573,41836676,1540497573,62664170
Mocap,0.0431193,-0.0217688,1.00084,-0.000716877,-0.0120621,-0.0736304,0.997212,1540497573,51949922,1540497573,72740170
Mocap,0.0431079,-0.0217803,1.00083,-0.00063669,-0.0121251,-0.0737504,0.997203,1540497573,62060661,1540497573,82707170
Mocap,0.0430867,-0.021805,1.00074,-0.000628487,-0.0125297,-0.0735637,0.997212,1540497573,71681458,1540497573,92766170
Mocap,0.0430894,-0.021795,1.00082,-0.000618021,-0.0121871,-0.0735984,0.997213,1540497573,82170844,1540497573,102727170
Mocap,0.0431115,-0.0217866,1.00074,-0.000719564,-0.0125076,-0.0734935,0.997217,1540497573,92043353,1540497573,112863170
Mocap,0.0431216,-0.0217701,1.00084,-0.000768524,-0.0120374,-0.0735759,0.997217,1540497573,101859843,1540497573,122745170
Mocap,0.0431155,-0.0217641,1.00083,-0.000722639,-0.012059,-0.0736763,0.997209,1540497573,112099957,1540497573,132895170
Mocap,0.0430919,-0.0218022,1.00082,-0.00061812,-0.0121556,-0.0736262,0.997212,1540497573,121479221,1540497573,142783170
Mocap,0.0430784,-0.0218269,1.00072,-0.0006196,-0.0126703,-0.0734685,0.997217,1540497573,132290782,1540497573,152829170
Mocap,0.0431178,-0.0217886,1.00081,-0.000611264,-0.0121037,-0.0737054,0.997206,1540497573,141826909,1540497573,162823170
Mocap,0.0431269,-0.0217584,1.00085,-0.00074416,-0.0120211,-0.0736818,0.997209,1540497573,152203741,1540497573,172871170
Mocap,0.0430976,-0.0217755,1.00082,-0.000636475,-0.0120368,-0.0737875,0.997201,1540497573,161894354,1540497573,182855170
Mocap,0.0430947,-0.0218076,1.00082,-0.000600043,-0.0120344,-0.0736291,0.997213,1540497573,171952152,1540497573,192937170
Mocap,0.0430899,-0.0218193,1.00081,-0.000608724,-0.01212,-0.0735558,0.997217,1540497573,182370705,1540497573,202889170
Mocap,0.0431196,-0.0217786,1.00083,-0.000693759,-0.0120647,-0.0736227,0.997213,1540497573,191647131,1540497573,213078170
Mocap,0.0431261,-0.0217418,1.00083,-0.000710906,-0.0119768,-0.0738137,0.9972,1540497573,202111658,1540497573,222939170
Mocap,0.0430992,-0.0217799,1.00083,-0.000663727,-0.012098,-0.0736715,0.997209,1540497573,211737078,1540497573,233089170
Mocap,0.0430836,-0.0217979,1.00082,-0.000615419,-0.0121255,-0.0736239,0.997212,1540497573,221888219,1540497573,242963170
Mocap,0.0430858,-0.0217947,1.00083,-0.000644442,-0.0121328,-0.0736481,0.99721,1540497573,232791520,1540497573,253115170
Mocap,0.0431339,-0.0217833,1.00082,-0.00070669,-0.0120409,-0.0736382,0.997212,1540497573,241887440,1540497573,262997170
Mocap,0.0431311,-0.0217724,1.00084,-0.000765862,-0.0120691,-0.0736342,0.997212,1540497573,251985847,1540497573,273148170
Mocap,0.0431066,-0.021785,1.00083,-0.0007358,-0.0120151,-0.0736086,0.997215,1540497573,261750762,1540497573,283032170
Mocap,0.0430971,-0.0217941,1.00081,-0.000634814,-0.012208,-0.0736292,0.997211,1540497573,271947056,1540497573,293188170
Mocap,0.0431127,-0.0217721,1.00082,-0.000671655,-0.0120783,-0.0736544,0.99721,1540497573,282719200,1540497573,303069170
Mocap,0.0431028,-0.021769,1.00083,-0.000671334,-0.0121274,-0.0737195,0.997205,1540497573,292171904,1540497573,313257170
Mocap,0.0431281,-0.0217692,1.00084,-0.000760051,-0.0120289,-0.0736451,0.997212,1540497573,302018134,1540497573,323119170
Mocap,0.043101,-0.0217812,1.00084,-0.000705087,-0.0119479,-0.0735923,0.997217,1540497573,311394213,1540497573,333263170
Mocap,0.043084,-0.0218151,1.00073,-0.000629768,-0.0126165,-0.0734801,0.997217,1540497573,321706823,1540497573,343143170
Mocap,0.0431044,-0.021792,1.00084,-0.000735154,-0.0120973,-0.073542,0.997218,1540497573,332751170,1540497573,353324170
Mocap,0.0431301,-0.0217659,1.00083,-0.000751449,-0.0119925,-0.0735838,0.997217,1540497573,341744161,1540497573,363176170
Mocap,0.043141,-0.0217833,1.00082,-0.000638254,-0.0119828,-0.0736296,0.997213,1540497573,351801688,1540497573,373293170
Mocap,0.043116,-0.021781,1.00083,-0.000707413,-0.0120736,-0.0736679,0.997209,1540497573,361423065,1540497573,382661170
Mocap,0.0431029,-0.0218126,1.00073,-0.000682638,-0.0124622,-0.0734346,0.997222,1540497573,371344920,1540497573,393281170
Mocap,0.0431199,-0.0217962,1.00084,-0.000724152,-0.0120401,-0.0735595,0.997218,1540497573,382100176,1540497573,402629170
Mocap,0.0431101,-0.0217646,1.00083,-0.000714057,-0.0120458,-0.0736718,0.99721,1540497573,391611137,1540497573,413227170
Mocap,0.0431282,-0.0217674,1.00083,-0.000763692,-0.0120173,-0.0736568,0.997211,1540497573,401325339,1540497573,422630170
Mocap,0.0430955,-0.0217927,1.00082,-0.000632721,-0.0120525,-0.0736433,0.997212,1540497573,412365449,1540497573,433254170
Mocap,0.0431243,-0.0217716,1.00083,-0.000706027,-0.0120822,-0.07357,0.997217,1540497573,421975384,1540497573,442630170
Mocap,0.0431266,-0.0217838,1.00082,-0.000653493,-0.012052,-0.0736039,0.997214,1540497573,432597505,1540497573,452772170
Mocap,0.0431056,-0.0217944,1.00081,-0.0006299,-0.0120417,-0.0736833,0.997209,1540497573,442047255,1540497573,462625170
Mocap,0.0431198,-0.0217812,1.00083,-0.000711204,-0.0120319,-0.0736073,0.997214,1540497573,452200622,1540497573,472767170
Mocap,0.0431132,-0.0217708,1.00083,-0.000729422,-0.0121138,-0.0736454,0.997211,1540497573,462082724,1540497573,482638170
Mocap,0.0431099,-0.0217843,1.00085,-0.000688939,-0.0120602,-0.0736155,0.997214,1540497573,471766625,1540497573,492776170
Mocap,0.0431337,-0.0217761,1.00084,-0.000690706,-0.0121146,-0.0736255,0.997212,1540497573,482633785,1540497573,502642170
Mocap,0.0431023,-0.021791,1.00083,-0.000651138,-0.0121372,-0.0736987,0.997206,1540497573,491943200,1540497573,512681170
Mocap,0.0431261,-0.0217771,1.00083,-0.000722299,-0.0121253,-0.0736433,0.997211,1540497573,502456365,1540497573,522673170
Mocap,0.0431194,-0.0217758,1.00084,-0.000718223,-0.0120865,-0.0736473,0.997211,1540497573,511574459,1540497573,532818170
Mocap,0.0431238,-0.0217887,1.00083,-0.000725934,-0.0120079,-0.0735435,0.997219,1540497573,521723226,1540497573,542670170
Mocap,0.0431173,-0.021775,1.00083,-0.000738355,-0.0120737,-0.0737108,0.997206,1540497573,532499155,1540497573,552810170
Mocap,0.0431101,-0.0218133,1.00073,-0.000715901,-0.0125392,-0.0734,0.997223,1540497573,542162941,1540497573,562655170
Mocap,0.0431116,-0.0217778,1.00084,-0.000686099,-0.0120407,-0.0736006,0.997215,1540497573,552091871,1540497573,572794170
Mocap,0.0431064,-0.0217925,1.00083,-0.000676683,-0.0121117,-0.0736442,0.997211,1540497573,562019878,1540497573,582654170
