type,poxX,poxY,poxZ,quatX,quatY,quatZ,quatW,stampSecs,stampNSecs,recSecs,recNSecs
Mocap,0.200851,0.709311,1.40002,-0.00184109,-0.0141046,0.710179,0.703878,1542134246,433061696,1542134246,451566254
Mocap,0.200806,0.709204,1.40001,-0.000187055,-0.0179486,0.713688,0.700233,1542134246,443049240,1542134246,461927254
Mocap,0.200817,0.709219,1.40001,-0.000270667,-0.0178865,0.713712,0.700211,1542134246,452963825,1542134246,471562254
Mocap,0.200815,0.709216,1.40002,-0.000259262,-0.0178713,0.71365,0.700275,1542134246,462884966,1542134246,481681254
Mocap,0.200841,0.709304,1.4,-0.00179231,-0.0142458,0.710277,0.703776,1542134246,472816034,1542134246,491554254
Mocap,0.200827,0.709307,1.40002,-0.00173707,-0.0142497,0.710319,0.703733,1542134246,482761707,1542134246,501687254
Mocap,0.200808,0.709214,1.4,-0.000184921,-0.0179048,0.71368,0.700243,1542134246,493036776,1542134246,511563254
Mocap,0.20082,0.709214,1.40002,-0.000287095,-0.0178483,0.713693,0.700231,1542134246,503134483,1542134246,521681254
Mocap,0.200807,0.709186,1.4,-0.000207884,-0.0179632,0.713673,0.700249,1542134246,513011175,1542134246,531557254
Mocap,0.200778,0.709186,1.4,-0.000171204,-0.0179605,0.71364,0.700283,1542134246,522772772,1542134246,541692254
Mocap,0.200821,0.709204,1.40002,-0.000320467,-0.0178846,0.713782,0.70014,1542134246,532948671,1542134246,551555254
Mocap,0.200809,0.709206,1.4,-0.000181175,-0.017887,0.713685,0.700238,1542134246,543101753,1542134246,561685254
Mocap,0.200814,0.709203,1.40002,-0.000257007,-0.017857,0.713736,0.700187,1542134246,552854775,1542134246,571553254
Mocap,0.200812,0.70921,1.40001,-0.00015732,-0.0179216,0.71372,0.700202,1542134246,563072728,1542134246,581686254
Mocap,0.200832,0.709308,1.40002,-0.00177324,-0.0142117,0.710125,0.70393,1542134246,573021201,1542134246,591554254
Mocap,0.200841,0.709319,1.4,-0.00174786,-0.0142532,0.710238,0.703815,1542134246,583004311,1542134246,601680254
Mocap,0.200815,0.709217,1.4,-0.000172059,-0.0179887,0.713661,0.70026,1542134246,593154088,1542134246,611558254
Mocap,0.200835,0.709313,1.4,-0.00178309,-0.0142411,0.710219,0.703834,1542134246,602896778,1542134246,621770254
Mocap,0.200842,0.709316,1.40001,-0.00184571,-0.0139954,0.710019,0.704041,1542134246,612905432,1542134246,631583254
Mocap,0.200853,0.709311,1.40002,-0.00180441,-0.0141853,0.710181,0.703874,1542134246,622753886,1542134246,641601254
Mocap,0.200823,0.709216,1.40002,-0.000249743,-0.0178437,0.713688,0.700236,1542134246,632929253,1542134246,651554254
Mocap,0.200837,0.709316,1.40003,-0.00181498,-0.0142586,0.710201,0.703853,1542134246,642819034,1542134246,661602254
Mocap,0.200822,0.709206,1.4,-0.000207277,-0.0179493,0.713724,0.700197,1542134246,652897860,1542134246,671566254
Mocap,0.200836,0.709301,1.40001,-0.0017988,-0.0141992,0.71026,0.703793,1542134246,663467374,1542134246,681611254
Mocap,0.200819,0.709205,1.4,-0.000217256,-0.017927,0.713753,0.700168,1542134246,672986209,1542134246,691567254
Mocap,0.200799,0.709194,1.40001,-0.000220359,-0.017979,0.713698,0.700223,1542134246,683223559,1542134246,701779254
Mocap,0.200824,0.709222,1.40001,-0.000180041,-0.0179202,0.713703,0.70022,1542134246,692602421,1542134246,711572254
Mocap,0.200821,0.709201,1.40001,-0.000249188,-0.0179082,0.71372,0.700202,1542134246,703044573,1542134246,721630254
Mocap,0.200781,0.70918,1.4,-0.000182751,-0.0179834,0.713759,0.70016,1542134246,712945446,1542134246,731597254
Mocap,0.20084,0.709312,1.40003,-0.00183025,-0.0142714,0.710292,0.70376,1542134246,722885553,1542134246,741668254
Mocap,0.200854,0.709324,1.4,-0.00175426,-0.0142377,0.710259,0.703794,1542134246,732914870,1542134246,751639254
Mocap,0.200831,0.709211,1.40001,-0.000253505,-0.0179371,0.713679,0.700243,1542134246,743211670,1542134246,761703254
Mocap,0.200819,0.709198,1.40001,-0.000261041,-0.0179352,0.713749,0.700172,1542134246,753159437,1542134246,771671254
Mocap,0.200811,0.7092,1.4,-0.00020195,-0.0178822,0.713773,0.700148,1542134246,763355794,1542134246,781904254
Mocap,0.200819,0.709199,1.4,-0.000237278,-0.0179196,0.713695,0.700227,1542134246,773302315,1542134246,791665254
Mocap,0.20083,0.70921,1.40001,-0.000246478,-0.0178519,0.713701,0.700223,1542134246,783424891,1542134246,801880254
Mocap,0.200825,0.709306,1.40002,-0.00182065,-0.0141546,0.710056,0.704001,1542134246,792942671,1542134246,811644254
Mocap,0.200807,0.709206,1.40002,-0.000224786,-0.0179272,0.71372,0.700201,1542134246,802863749,1542134246,821901254
Mocap,0.200803,0.709202,1.40002,-0.000247507,-0.017874,0.713737,0.700186,1542134246,812848565,1542134246,831664254
Mocap,0.200809,0.709206,1.40001,-0.000215543,-0.017972,0.713716,0.700205,1542134246,823088023,1542134246,841915254
Mocap,0.200846,0.709328,1.40001,-0.00180422,-0.0141626,0.710061,0.703996,1542134246,833032601,1542134246,851696254
Mocap,0.200823,0.709222,1.4,-0.0001921,-0.0178957,0.713644,0.70028,1542134246,843795702,1542134246,861746254
Mocap,0.200852,0.7093,1.40001,-0.00182442,-0.0140532,0.710201,0.703856,1542134246,853444983,1542134246,871754254
Mocap,0.200805,0.709187,1.40001,-0.000166053,-0.0179408,0.713765,0.700156,1542134246,862932445,1542134246,881781254
Mocap,0.20084,0.709299,1.40001,-0.00182624,-0.0142143,0.710263,0.703791,1542134246,873007572,1542134246,891776254
Mocap,0.200836,0.709323,1.40002,-0.00175369,-0.0143221,0.71025,0.703801,1542134246,882976819,1542134246,902040254
Mocap,0.200838,0.709319,1.40002,-0.00187292,-0.0140549,0.710105,0.703953,1542134246,893268960,1542134246,911817254
Mocap,0.200847,0.709307,1.40001,-0.0018401,-0.0141289,0.710159,0.703897,1542134246,903396565,1542134246,922024254
Mocap,0.200806,0.709199,1.4,-0.000175419,-0.0179566,0.713742,0.700179,1542134246,912712451,1542134246,931795254
Mocap,0.200806,0.709199,1.40001,-0.000194487,-0.0179031,0.713705,0.700217,1542134246,923117661,1542134246,942062254
Mocap,0.200798,0.709211,1.40001,-0.000214633,-0.0179176,0.713664,0.700259,1542134246,933845775,1542134246,951818254
Mocap,0.200804,0.709211,1.40001,-0.000227255,-0.0179993,0.713746,0.700173,1542134246,943177270,1542134246,961973254
Mocap,0.200817,0.70922,1.40001,-0.000212609,-0.0179339,0.713664,0.700258,1542134246,953103266,1542134246,971545254
Mocap,0.200815,0.709197,1.40002,-0.000238307,-0.0179446,0.713773,0.700148,1542134246,963095618,1542134246,981948254
Mocap,0.200849,0.709306,1.40001,-0.00182114,-0.0142327,0.710272,0.703781,1542134246,973006281,1542134246,991551254
Mocap,0.200837,0.709312,1.40001,-0.00182837,-0.0141367,0.710082,0.703975,1542134246,982881331,1542134247,1604254
